pair,memo
RP,人皮
RR,人人
RS,瑞士
RT,乳头
RW,日 wo
RX,乳腺
RY,人妖
RZ,肉粽
SA,傻
SB,手表
SC,四川
SD,山东
SE,色
SF,三番
SG,丝瓜
SH,上海
SI,死
SJ,手机
SK,手铐
SL,色狼
SM,SM
SN,酸奶
SP,薯片
SR,死人
SS,姗姗
ST,食堂
SW,丝袜
SX,绍兴
SY,石油
SZ,深圳
TA,TA
TB,淘宝
TC,台城
TD,土豆
TE,胎儿
TF,头发
TG,泰国
TH,鹈鹕
TI,梯
TJ,同济
TK,坦克
TL,螳螂
TM,天猫
TN,鸵鸟
TP,偷拍
TR,天然
TS,天使
TT,兔兔
TW,台湾
TX,同学
TY,太阳
TZ,兔子
WA,袜
WB,微博
WC,王朝
WD,屋顶
WE,我儿
WF,汪峰
WG,乌龟
WH,武汉
WI,我爱
WJ,吴京
WK,悟空
WL,物理
WM,雾霾
WN,蜗牛
WP,外婆
WR,微软
WS,武松
WT,外滩
WW,娃娃
WX,微信
WY,无语
WZ,蚊子
XA,瞎
XB,小宝
XC,香菜
XD,西单
XE,谢
XF,稀饭
XG,西瓜
XH,西湖
XI,习
XJ,香蕉
XK,小可
XL,新郎
XM,熊猫
XN,悉尼
XP,芯片
XR,小人
XS,香水
XT,西天
XW,小伟
XX,谢谢
XY,香烟
XZ,小猪
YA,牙
YB,伊布
YC,牙齿
YD,晕倒
YE,叶
YF,亦菲
YG,英国
YH,银行
YI,Yi
YJ,眼镜
YK,永康
YL,耶鲁
YM,玉米
YN,云南
YP,羊排
YR,羊肉
YS,钥匙
YT,樱桃
YW,鹦鹉
YX,音响
YY,医院
YZ,鸭子
ZA,渣
ZB,闸北
ZC,张成
ZD,子弹
ZE,泽
ZF,郑凡
ZG,中国
ZH,知乎
ZI,障碍
ZJ,浙江
ZK,中考
ZL,总理
ZM,直美
ZN,渣男
ZP,帐篷
ZR,侏儒
ZS,钻石
ZT,总统
ZW,自 wei
ZX,自信
ZY,泽禹
ZZ,智障
